Flight_ID,Delay_Code,DelayCode_ID,DATOP_UTC,FLIGHT_NO,STD_UTC,ATD_UTC,STA_UTC,ATA_UTC,Delay_Minutes,Controllable
90279,PBK,274,31/1/2018,UO948,2018-01-31T19:55:00,2018-01-31T19:59:00,2018-02-01T00:00:00,2018-02-01T00:02:00,4,1
90722,PHA,284,31/1/2018,UO1039,2018-01-31T23:30:00,2018-01-31T23:37:00,2018-02-01T02:10:00,2018-02-01T02:15:00,4,1
89824,PHC,278,31/1/2018,UO461,2018-01-31T22:50:00,2018-01-31T23:10:00,2018-02-01T00:30:00,2018-02-01T00:35:00,8,1
91576,PHA,284,31/1/2018,UO3385,2018-01-31T23:50:00,2018-02-01T00:02:00,2018-02-01T01:45:00,2018-02-01T01:35:00,11,1
90815,RAO,298,1/2/2018,UO1087,2018-02-01T13:00:00,2018-02-01T14:24:00,2018-02-01T15:45:00,2018-02-01T16:44:00,84,1
90403,RAO,298,1/2/2018,UO956,2018-02-01T14:55:00,2018-02-01T15:52:00,2018-02-01T20:05:00,2018-02-01T21:04:00,47,1
90495,ROV,307,1/2/2018,UO959,2018-02-01T07:50:00,2018-02-01T08:52:00,2018-02-01T12:05:00,2018-02-01T12:14:00,59,1
90372,ROV,307,1/2/2018,UO955,2018-02-01T10:15:00,2018-02-01T11:18:00,2018-02-01T14:10:00,2018-02-01T14:57:00,51,1
90784,ROV,307,1/2/2018,UO1086,2018-02-01T08:45:00,2018-02-01T10:29:00,2018-02-01T12:20:00,2018-02-01T13:41:00,96,1
90526,PDO,275,1/2/2018,UO960,2018-02-01T13:05:00,2018-02-01T13:08:00,2018-02-01T16:55:00,2018-02-01T16:54:00,3,1
90663,PHC,278,1/2/2018,UO1019,2018-02-01T01:15:00,2018-02-01T01:39:00,2018-02-01T04:50:00,2018-02-01T04:56:00,3,1
90283,FAF,225,1/2/2018,UO948,2018-02-01T19:55:00,2018-02-01T20:11:00,2018-02-02T00:00:00,2018-02-02T00:05:00,3,1
90495,FAS,228,1/2/2018,UO959,2018-02-01T07:50:00,2018-02-01T08:52:00,2018-02-01T12:05:00,2018-02-01T12:14:00,3,1
91651,FSS,252,1/2/2018,UO4231,2018-02-01T00:15:00,2018-02-01T00:32:00,2018-02-01T03:50:00,2018-02-01T03:58:00,3,1
90988,PHC,278,1/2/2018,UO1203,2018-02-01T02:50:00,2018-02-01T03:04:00,2018-02-01T07:10:00,2018-02-01T06:41:00,4,1
